199.72.81.55 - - [01/Jul/1995:00:00:01 -0400] "GET /history/apollo/ HTTP/1.0" 200 6245
unicomp6.unicomp.net - - [01/Jul/1995:00:00:06 -0400] "GET /shuttle/countdown/ HTTP/1.0" 200 3985
210.238.40.43 - - [01/Jul/1995:00:00:09 -0400] "GET / HTTP/1.0" 200 7074
207.237.55.38 - - [01/Jul/1995:00:00:09 -0400] "GET /history/mercury/mercury.html HTTP/1.0" 200 1871
219.156.97.22 - - [01/Jul/1995:00:00:09 -0400] "GET /shuttle/technology/images/sts_spec_6-small.gif HTTP/1.0" 200 47145
xrf.koo.univie.ac.at - - [01/Jul/1995:00:00:09 -0400] "GET /ksc.html HTTP/1.0" 200 7071
199.120.110.21 - - [01/Jul/1995:00:00:09 -0400] "GET /shuttle/missions/sts-73/mission-sts-73.html HTTP/1.0" 200 4085
burger.letters.com - - [01/Jul/1995:00:00:11 -0400] "GET /shuttle/countdown/liftoff.html HTTP/1.0" 304 0
199.120.110.21 - - [01/Jul/1995:00:00:11 -0400] "GET /shuttle/missions/sts-73/sts-73-patch-small.gif HTTP/1.0" 200 4179
210.279.72.52 - - [01/Jul/1995:00:00:12 -0400] "GET / HTTP/1.0" 200 7074
219.205.68.50 - - [01/Jul/1995:00:00:12 -0400] "GET /shuttle/missions/sts-70/images/KSC-95EC-1013.jpg HTTP/1.0" 200 109592
216.173.12.26 - - [01/Jul/1995:00:00:12 -0400] "GET /images/ksclogo-medium.gif HTTP/1.0" 200 5866
freenet.edmonton.ab.ca - - [01/Jul/1995:00:00:12 -0400] "GET /images/dual-pad.gif HTTP/1.0" 200 141308
burger.letters.com - - [01/Jul/1995:00:00:12 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 304 0
burger.letters.com - - [01/Jul/1995:00:00:12 -0400] "GET /shuttle/countdown/video/livevideo.gif HTTP/1.0" 200 0
205.212.115.106 - - [01/Jul/1995:00:00:12 -0400] "GET /shuttle/countdown/countdown.html HTTP/1.0" 200 3985
218.290.83.53 - - [01/Jul/1995:00:00:13 -0400] "GET / HTTP/1.0" 200 7074
215.251.81.75 - - [01/Jul/1995:00:00:13 -0400] "GET /icons/blank.xbm HTTP/1.0" 304 0
208.294.29.25 - - [01/Jul/1995:00:00:13 -0400] "GET /icons/text.xbm HTTP/1.0" 200 527
fuji.kpnw.org - - [01/Jul/1995:00:00:13 -0400] "GET /cgi-bin/imagemap/countdown70?66,221 HTTP/1.0" 302 110
d104.aa.net - - [01/Jul/1995:00:00:13 -0400] "GET /shuttle/countdown/ HTTP/1.0" 200 3985
129.94.144.152 - - [01/Jul/1995:00:00:13 -0400] "GET / HTTP/1.0" 200 7074
unicomp6.unicomp.net - - [01/Jul/1995:00:00:14 -0400] "GET /shuttle/countdown/count.gif HTTP/1.0" 200 40310
218.113.42.36 - - [01/Jul/1995:00:00:14 -0400] "GET / HTTP/1.0" 200 7074
217.212.46.73 - - [01/Jul/1995:00:00:14 -0400] "GET /images/ksclogo.gif HTTP/1.0" 200 14298
218.264.80.61 - - [01/Jul/1995:00:00:14 -0400] "GET /shuttle/countdown/count70.gif HTTP/1.0" 200 46573
eva.ucop.edu - - [01/Jul/1995:00:00:14 -0400] "GET /shuttle/missions/sts-71/images/KSC-95EC-0912.gif HTTP/1.0" 200 48305
unicomp6.unicomp.net - - [01/Jul/1995:00:00:14 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
unicomp6.unicomp.net - - [01/Jul/1995:00:00:14 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
d104.aa.net - - [01/Jul/1995:00:00:15 -0400] "GET /shuttle/countdown/count.gif HTTP/1.0" 200 40310
213.242.71.95 - - [01/Jul/1995:00:00:15 -0400] "GET / HTTP/1.0" 200 7074
207.163.30.25 - - [01/Jul/1995:00:00:15 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 304 0
208.255.87.91 - - [01/Jul/1995:00:00:15 -0400] "GET /htbin/cdt_main.pl HTTP/1.0" 200 3347
muffin.wis.com - - [01/Jul/1995:00:00:15 -0400] "GET /images/ksclogo-medium.gif HTTP/1.0" 200 5866
d104.aa.net - - [01/Jul/1995:00:00:15 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
d104.aa.net - - [01/Jul/1995:00:00:15 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
129.94.144.152 - - [01/Jul/1995:00:00:17 -0400] "GET /images/ksclogo-medium.gif HTTP/1.0" 304 0
207.251.10.55 - - [01/Jul/1995:00:00:17 -0400] "GET / HTTP/1.0" 200 7074
223.252.78.80 - - [01/Jul/1995:00:00:17 -0400] "GET /elv/elvhead2.gif HTTP/1.0" 200 1733
222.219.53.39 - - [01/Jul/1995:00:00:17 -0400] "GET /images/ksclogosmall.gif HTTP/1.0" 200 3635
edams.ksc.nasa.gov - - [01/Jul/1995:00:00:17 -0400] "GET /shuttle/technology/images/mission_profile_2-small.gif HTTP/1.0" 200 35540
199.120.110.21 - - [01/Jul/1995:00:00:17 -0400] "GET /images/launch-logo.gif HTTP/1.0" 200 1713
ppptky391.asahi-net.or.jp - - [01/Jul/1995:00:00:18 -0400] "GET /facts/about_ksc.html HTTP/1.0" 200 3977
net-1-141.eden.com - - [01/Jul/1995:00:00:19 -0400] "GET /shuttle/missions/sts-71/images/KSC-95EC-0916.jpg HTTP/1.0" 200 34029
223.229.59.14 - - [01/Jul/1995:00:00:19 -0400] "GET / HTTP/1.0" 200 7074
212.207.57.26 - - [01/Jul/1995:00:00:19 -0400] "GET /history/mercury/mercury.html HTTP/1.0" 200 1871
208.224.91.23 - - [01/Jul/1995:00:00:19 -0400] "GET /history/apollo/images/apollo-logo1.gif HTTP/1.0" 200 1173
super.info.lv - - [01/Jul/1995:00:00:19 -0400] "GET /shuttle/technology/sts-newsref/sts_asm.html HTTP/1.0" 200 71656
ppptky391.asahi-net.or.jp - - [01/Jul/1995:00:00:19 -0400] "GET /images/launchpalms-small.gif HTTP/1.0" 200 11473
205.189.154.54 - - [01/Jul/1995:00:00:24 -0400] "GET /shuttle/countdown/ HTTP/1.0" 200 3985
waters-gw.starway.net.au - - [01/Jul/1995:00:00:25 -0400] "GET /shuttle/missions/51-l/mission-51-l.html HTTP/1.0" 200 6723
216.123.38.65 - - [01/Jul/1995:00:00:27 -0400] "GET / HTTP/1.0" 200 7074
209.249.41.48 - - [01/Jul/1995:00:00:27 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 304 0
220.149.67.62 - - [01/Jul/1995:00:00:27 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
onramp2-11.onr.com - - [01/Jul/1995:00:00:27 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:27 -0400] "GET / HTTP/1.0" 200 7074
205.189.154.54 - - [01/Jul/1995:00:00:29 -0400] "GET /shuttle/countdown/count.gif HTTP/1.0" 200 40310
alyssa.prodigy.com - - [01/Jul/1995:00:00:33 -0400] "GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0" 200 12054
223.168.46.97 - - [01/Jul/1995:00:00:35 -0400] "GET / HTTP/1.0" 200 7074
216.187.66.59 - - [01/Jul/1995:00:00:35 -0400] "GET /htbin/wais.pl?killed HTTP/1.0" 200 5765
209.189.57.48 - - [01/Jul/1995:00:00:35 -0400] "GET /images/launchmedium.gif HTTP/1.0" 200 11853
pv0804.vincent.iastate.edu - - [01/Jul/1995:00:00:35 -0400] "GET /finance/webserch.gif HTTP/1.0" 200 2682
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:35 -0400] "GET /images/ksclogo-medium.gif HTTP/1.0" 200 5866
dial22.lloyd.com - - [01/Jul/1995:00:00:37 -0400] "GET /shuttle/missions/sts-71/images/KSC-95EC-0613.jpg HTTP/1.0" 200 61716
smyth-pc.moorecap.com - - [01/Jul/1995:00:00:38 -0400] "GET /history/apollo/apollo-13/images/70HC314.GIF HTTP/1.0" 200 101267
211.108.93.33 - - [01/Jul/1995:00:00:40 -0400] "GET / HTTP/1.0" 200 7074
220.293.15.65 - - [01/Jul/1995:00:00:40 -0400] "GET /htbin/cdt_main.pl HTTP/1.0" 200 3714
217.167.34.77 - - [01/Jul/1995:00:00:40 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
djpmd.pr.mcs.net - - [01/Jul/1995:00:00:40 -0400] "GET /images/launch-logo.gif HTTP/1.0" 200 1713
205.189.154.54 - - [01/Jul/1995:00:00:40 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
ix-orl2-01.ix.netcom.com - - [01/Jul/1995:00:00:41 -0400] "GET /shuttle/countdown/ HTTP/1.0" 200 3985
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:41 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
213.225.12.49 - - [01/Jul/1995:00:00:41 -0400] "GET / HTTP/1.0" 200 7074
215.145.83.92 - - [01/Jul/1995:00:00:41 -0400] "GET /shuttle/missions/sts-71/movies/movies.html" 200 3089
220.169.39.23 - - [01/Jul/1995:00:00:41 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
128.159.122.119 - - [01/Jul/1995:00:00:41 -0400] "GET /icons/image.xbm HTTP/1.0" 200 509
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:41 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
205.189.154.54 - - [01/Jul/1995:00:00:41 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:41 -0400] "GET /images/USA-logosmall.gif HTTP/1.0" 200 234
214.153.93.40 - - [01/Jul/1995:00:00:43 -0400] "GET / HTTP/1.0" 200 7074
211.279.13.67 - - [01/Jul/1995:00:00:43 -0400] "GET /history/apollo/images/apollo-logo1.gif HTTP/1.0" 200 1173
212.203.73.13 - - [01/Jul/1995:00:00:43 -0400] "GET /shuttle/missions/sts-78/mission-sts-78.html HTTP/1.0" 200 4637
ix-dfw14-05.ix.netcom.com - - [01/Jul/1995:00:00:43 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
ppp-mia-30.shadow.net - - [01/Jul/1995:00:00:43 -0400] "GET /images/WORLD-logosmall.gif HTTP/1.0" 200 669
ix-orl2-01.ix.netcom.com - - [01/Jul/1995:00:00:44 -0400] "GET /shuttle/countdown/count.gif HTTP/1.0" 200 40310
gayle-gaston.tenet.edu - - [01/Jul/1995:00:00:50 -0400] "GET /shuttle/missions/sts-71/mission-sts-71.html HTTP/1.0" 200 12040
221.155.85.12 - - [01/Jul/1995:00:00:54 -0400] "GET / HTTP/1.0" 200 7074
221.195.71.14 - - [01/Jul/1995:00:00:54 -0400] "GET /shuttle/missions/sts-71/mission-sts-71.html HTTP/1.0" 200 13387
220.129.79.22 - - [01/Jul/1995:00:00:54 -0400] "GET /shuttle/missions/missions.html HTTP/1.0" 200 8678
n1043356.ksc.nasa.gov - - [01/Jul/1995:00:00:54 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
piweba3y.prodigy.com - - [01/Jul/1995:00:00:54 -0400] "GET /shuttle/missions/sts-71/sts-71-patch-small.gif HTTP/1.0" 200 12054
scheyer.clark.net - - [01/Jul/1995:00:00:58 -0400] "GET /shuttle/missions/sts-71/movies/sts-71-mir-dock-2.mpg HTTP/1.0" 200 49152
ppp-nyc-3-1.ios.com - - [01/Jul/1995:00:00:59 -0400] "GET /shuttle/missions/sts-71/images/KSC-95EC-0882.jpg HTTP/1.0" 200 77163
217.208.86.59 - - [01/Jul/1995:00:00:59 -0400] "GET / HTTP/1.0" 200 7074
207.211.94.39 - - [01/Jul/1995:00:00:59 -0400] "GET /history/apollo/flight-summary.txt HTTP/1.0" 200 5086
222.270.81.38 - - [01/Jul/1995:00:00:59 -0400] "GET /images/USA-logosmall.gif HTTP/1.0" 200 234
news.dfrc.nasa.gov - - [01/Jul/1995:00:00:59 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
